,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
32,san cristobal,26,HN,1570731223,54,14.68,-86.92,83.08,5.52
33,georgetown,20,GY,1570731224,74,6.8,-58.16,89.6,9.17
34,murdochville,0,CA,1570731224,39,48.96,-65.49,61.3,2.12
35,pevek,55,RU,1570731224,80,69.7,170.27,20.8,14.03
36,busselton,60,AU,1570731225,72,-33.64,115.35,61.0,11.54
37,liverpool,75,GB,1570731225,87,53.41,-2.98,60.01,12.75
38,hurricane,1,US,1570731226,14,37.18,-113.29,57.0,11.52
39,avarua,57,CK,1570731226,73,-21.21,-159.78,71.6,11.41
40,hermanus,71,ZA,1570731227,73,-34.42,19.24,63.0,3.0
41,nikolskoye,90,RU,1570731227,93,59.7,30.79,45.0,4.47
42,kapaa,40,US,1570731228,94,22.08,-159.32,78.8,6.93
43,pacific grove,1,US,1570731228,13,36.62,-121.92,71.6,6.93
44,lompoc,1,US,1570731229,64,34.64,-120.46,73.4,4.7
45,hobart,90,AU,1570731229,70,-42.88,147.33,48.2,9.88
46,punta arenas,75,CL,1570731229,55,-53.16,-70.91,39.2,35.57
47,grand gaube,75,MU,1570731230,57,-20.01,57.66,75.2,14.99
48,matara,70,BI,1570731230,77,-3.48,29.48,62.2,5.19
49,dera bugti,0,PK,1570731230,30,29.03,69.15,81.1,3.17
50,bambous virieux,75,MU,1570731231,57,-20.34,57.76,75.2,14.99
51,villiers,11,ZA,1570731231,70,-27.03,28.6,53.74,15.37
52,san jeronimo,0,PE,1570731232,328,-13.65,-73.37,37.4,11.41
53,santa rosa,90,AR,1570731232,34,-36.62,-64.29,86.5,4.49
54,manaquiri,75,BR,1570731233,83,-3.43,-60.46,84.2,4.7
55,esmeraldas,75,BR,1570731233,47,-19.76,-44.31,82.4,8.05
56,saint-pierre,21,FR,1570731234,87,48.95,4.24,57.2,9.17
57,kavieng,0,PG,1570731234,69,-2.57,150.8,84.16,8.8
58,kasama,79,ZM,1570731235,31,-10.21,31.19,79.66,3.06
59,saint george,75,GR,1570731235,82,39.45,22.34,66.2,3.2
60,east london,75,ZA,1570731235,63,-33.02,27.91,60.8,8.05
61,salalah,20,OM,1570731236,88,17.01,54.1,80.6,2.24
62,komsomolets,100,RU,1570731237,77,52.77,41.29,51.22,18.83
63,marsaxlokk,20,MT,1570731237,83,35.84,14.54,73.4,8.05
64,neryungri,100,RU,1570731237,93,56.66,124.71,10.0,6.2
65,nalut,16,LY,1570731238,69,31.86,10.98,71.92,15.12
66,ushuaia,75,AR,1570731238,84,-54.81,-68.31,32.0,29.97
67,college,90,US,1570731239,93,64.86,-147.8,37.4,1.75
68,butaritari,66,KI,1570731239,61,3.07,172.79,84.16,7.05
69,cabo san lucas,20,MX,1570731240,46,22.89,-109.91,93.99,5.82
70,fort nelson,75,CA,1570731240,86,58.81,-122.69,28.4,8.05
71,santa maria,40,BR,1570731241,29,-16.02,-48.01,89.6,6.93
72,saldanha,0,PT,1570731241,41,41.42,-6.55,65.62,4.94
73,fukue,75,JP,1570731242,73,35.03,136.69,71.6,9.17
74,ishigaki,0,JP,1570731242,75,24.34,124.16,76.24,15.72
75,naryan-mar,76,RU,1570731242,90,67.67,53.09,33.22,10.28
76,provideniya,0,RU,1570731243,73,64.42,-173.23,26.38,2.42
77,ostrovnoy,63,RU,1570731244,92,68.05,39.51,28.18,10.9
78,bredasdorp,57,ZA,1570731244,67,-34.53,20.04,59.0,8.05
79,arraial do cabo,75,BR,1570731244,88,-22.97,-42.02,73.4,5.82
80,haines junction,100,CA,1570731245,93,60.75,-137.51,28.72,11.64
81,mar del plata,84,AR,1570731245,57,-46.43,-67.52,49.06,20.88
82,kaya,29,NG,1570731246,37,13.31,12.68,91.18,10.14
83,noumea,0,NC,1570731247,87,-22.28,166.46,72.0,3.36
84,chuy,35,UY,1570731248,61,-33.69,-53.46,78.04,5.78
85,chapais,1,CA,1570731248,41,49.78,-74.86,59.0,8.05
86,castro,90,CL,1570731248,93,-42.48,-73.76,53.6,12.75
87,port lincoln,8,AU,1570731249,91,-34.72,135.86,51.94,13.71
88,pozo colorado,0,PY,1570731249,21,-23.49,-58.8,101.08,9.47
89,atuona,0,PF,1570731250,74,-9.8,-139.03,78.58,13.01
90,kruisfontein,8,ZA,1570731251,73,-34.0,24.73,54.1,14.64
91,jinchang,88,CN,1570731251,43,38.52,102.19,50.32,1.67
92,new norfolk,90,AU,1570731251,70,-42.78,147.06,48.2,2.58
93,yerbogachen,20,RU,1570731252,93,61.28,108.01,13.78,5.89
94,richards bay,50,ZA,1570731253,66,-28.77,32.06,67.06,16.23
95,westport,90,US,1570731253,37,41.14,-73.36,70.0,20.8
96,tasiilaq,20,GL,1570731254,64,65.61,-37.64,37.4,5.82
97,taltal,49,CL,1570731254,67,-25.41,-70.49,58.24,5.33
98,husavik,100,CA,1570731254,96,50.56,-96.99,36.0,5.99
99,ucluelet,5,CA,1570731255,81,48.94,-125.55,50.0,3.36
100,yellowknife,75,CA,1570731255,86,62.45,-114.38,36.0,6.93
101,jamestown,37,AU,1570731256,66,-33.21,138.6,46.18,10.08
102,san patricio,0,PY,1570731256,31,-26.98,-56.83,93.34,6.99
103,bang sai,20,TH,1570731256,78,14.21,100.5,82.4,3.36
104,bethel,90,US,1570731257,100,60.79,-161.76,37.4,9.17
105,upernavik,0,GL,1570731257,58,72.79,-56.15,28.72,4.61
106,chernyakhovsk,100,RU,1570731257,92,54.64,21.81,48.7,13.72
107,wawa,50,NG,1570731258,77,9.9,4.41,80.74,1.74
108,calvia,62,ES,1570731258,64,39.57,2.51,73.0,8.05
109,aripuana,40,BR,1570731259,42,-9.17,-60.63,93.7,3.06
110,vaini,100,IN,1570731259,94,15.34,74.49,70.12,4.12
111,rorvik,0,NO,1570731259,80,64.86,11.24,39.2,8.05
112,ystad,20,SE,1570731260,81,55.43,13.82,52.0,12.75
113,whitehorse,75,CA,1570731260,80,60.72,-135.06,39.0,21.92
114,hurup,43,DK,1570731260,93,56.75,8.42,52.0,8.05
115,guerrero negro,5,MX,1570731261,56,27.97,-114.04,72.28,13.87
116,batagay,100,RU,1570731261,85,67.65,134.64,8.2,2.74
117,rocha,49,UY,1570731262,64,-34.48,-54.34,79.84,9.54
118,taunggyi,90,MM,1570731262,95,20.78,97.03,63.46,2.84
119,yar-sale,100,RU,1570731262,87,66.83,70.83,40.24,16.37
120,fuling,89,CN,1570731263,96,29.71,107.39,60.04,2.08
121,mitsamiouli,20,KM,1570731263,65,-11.38,43.28,82.4,10.29
122,los llanos de aridane,75,ES,1570731263,83,28.66,-17.92,73.4,10.29
123,les cayes,15,HT,1570731264,72,18.19,-73.75,83.26,8.91
124,ponnani,75,IN,1570731265,78,10.77,75.93,80.6,3.36
125,turukhansk,2,RU,1570731265,50,65.8,87.96,27.28,11.19
126,dingle,83,PH,1570731266,87,11.0,122.67,73.18,3.96
127,urengoy,100,RU,1570731267,72,65.96,78.37,36.28,21.15
128,puerto ayora,20,EC,1570731268,60,-0.74,-90.35,73.4,20.8
129,atar,61,MR,1570731268,9,20.52,-13.05,96.04,10.54
130,chongqing,90,CN,1570731268,93,29.56,106.55,62.6,6.71
131,torbay,40,CA,1570731269,62,47.66,-52.73,57.0,8.05
132,ordubad,0,AZ,1570731270,49,38.91,46.02,71.6,9.17
133,merta,0,IN,1570731270,27,26.65,74.03,80.02,4.1
134,severomorsk,98,RU,1570731271,96,69.07,33.42,32.86,2.54
135,lagos,75,NG,1570731271,88,6.46,3.39,80.6,3.36
136,burnie,100,AU,1570731272,94,-41.05,145.91,48.0,5.01
137,bud,75,NO,1570731272,76,62.91,6.91,50.0,5.82
138,ust-nera,96,RU,1570731272,92,64.57,143.24,13.06,9.27
139,victoria,75,BN,1570731273,94,5.28,115.24,77.0,4.96
140,sao filipe,63,CV,1570731273,83,14.9,-24.5,79.3,7.03
141,coahuayana,87,MX,1570731274,76,18.62,-100.35,81.28,2.82
142,gonbad-e qabus,20,IR,1570731274,64,37.25,55.17,73.4,2.41
143,saskylakh,98,RU,1570731275,94,71.97,114.09,11.98,13.84
144,caravelas,10,BR,1570731275,58,-17.73,-39.27,81.28,13.01
145,merauke,100,ID,1570731276,95,-8.49,140.4,72.1,4.31
146,port alfred,29,ZA,1570731276,72,-33.59,26.89,61.0,5.99
147,mandurah,0,AU,1570731276,100,-32.55,115.7,60.01,10.47
148,yazman,51,SY,1570731277,29,36.74,38.46,74.8,6.78
149,humaita,20,AR,1570731277,30,-24.93,-65.37,93.2,10.29
150,avera,1,US,1570731277,41,33.19,-82.53,80.01,5.82
151,whitianga,100,NZ,1570731278,98,-36.83,175.7,60.01,5.99
152,moyale,100,ET,1570731278,79,3.52,39.05,73.36,5.87
153,juneau,90,US,1570731279,93,58.3,-134.42,46.4,13.87
154,isla aguada,20,MX,1570731279,74,18.78,-91.49,86.0,6.93
155,longyearbyen,20,NO,1570731280,68,78.22,15.63,26.6,19.46
156,bichena,22,ET,1570731280,85,10.45,38.2,51.4,5.32
157,gladstone,75,AU,1570731280,77,-23.84,151.26,66.2,6.93
158,havre-saint-pierre,1,CA,1570731281,47,50.23,-63.6,57.2,6.93
159,acapulco,75,MX,1570731281,66,16.86,-99.88,87.8,3.36
160,moron,7,HT,1570731282,72,18.56,-74.26,82.54,4.81
161,mayo,75,CA,1570731283,86,63.59,-135.9,28.4,4.7
162,ribeira grande,20,PT,1570731283,64,38.52,-28.7,71.6,11.41
163,saint-georges,100,CA,1570731285,54,46.12,-70.67,59.0,4.0
164,mwinilunga,49,ZM,1570731286,50,-11.73,24.43,72.46,1.12
165,araouane,25,ML,1570731288,11,18.9,-3.53,94.78,5.94
166,tuktoyaktuk,75,CA,1570731288,100,69.44,-133.03,28.4,4.7
167,barrow,67,AR,1570731289,35,-38.31,-60.23,76.96,13.12
168,tazovskiy,100,RU,1570731290,74,67.47,78.7,35.92,23.29
169,fortuna,1,US,1570731290,25,40.6,-124.16,62.01,3.36
170,nouadhibou,40,MR,1570731291,42,20.93,-17.03,84.2,14.99
171,svetlogorsk,7,RU,1570731291,77,53.14,59.15,36.46,5.98
172,antalaha,62,MG,1570731292,81,-14.9,50.28,76.78,14.7
173,yucca valley,1,US,1570731292,5,34.12,-116.41,80.6,14.99
174,portland,90,US,1570731292,47,43.66,-70.25,57.99,10.29
175,ewa beach,75,US,1570731293,66,21.32,-158.01,84.2,5.82
176,tuatapere,100,NZ,1570731293,91,-46.13,167.69,43.0,11.01
177,sabzevar,29,IR,1570731293,43,36.21,57.68,64.18,14.14
178,dobsina,75,SK,1570731295,81,48.82,20.37,55.4,6.93
179,hilo,90,US,1570731296,88,19.71,-155.08,79.0,5.82
180,pitkyaranta,90,RU,1570731296,92,61.57,31.48,40.96,5.43
181,mata,0,PT,1570731297,48,40.68,-7.46,66.99,1.93
182,vakhsh,95,TJ,1570731297,29,37.72,68.84,65.98,0.95
183,keetmanshoop,59,NA,1570731297,10,-26.57,18.15,78.8,10.29
184,jacksonville,40,US,1570731298,58,30.33,-81.66,84.99,13.87
185,klaksvik,100,FO,1570731298,87,62.23,-6.59,46.4,11.41
186,vanimo,53,PG,1570731299,76,-2.67,141.3,81.46,5.46
187,alofi,58,NU,1570731299,88,-19.06,-169.92,75.2,6.93
188,sambava,71,MG,1570731300,90,-14.27,50.17,68.5,2.33
189,komsomolskiy,100,RU,1570731300,96,67.55,63.78,31.6,15.39
190,bull savanna,93,JM,1570731300,64,17.89,-77.59,83.44,6.9
191,hasaki,75,JP,1570731301,100,35.73,140.83,63.0,9.17
192,pandamatenga,98,BW,1570731302,34,-18.54,25.64,78.4,2.33
193,killybegs,90,IE,1570731306,100,54.63,-8.45,55.4,11.41
194,nisia floresta,40,BR,1570731306,62,-6.09,-35.21,86.0,16.11
195,orito,90,CO,1570731306,83,0.67,-76.88,75.2,5.82
196,karatuzskoye,0,RU,1570731307,76,53.61,92.87,30.88,1.28
197,thompson,75,CA,1570731307,55,55.74,-97.86,35.6,3.36
198,san quintin,2,PH,1570731308,92,17.54,120.52,71.56,3.67
199,albesti,84,RO,1570731308,71,47.7,27.07,61.0,5.82
200,twentynine palms,1,US,1570731309,5,34.14,-116.05,80.6,14.99
201,sovetsk,99,RU,1570731310,90,55.08,21.89,50.32,10.99
202,cayenne,20,GF,1570731310,62,4.94,-52.33,87.8,14.99
203,talaya,37,RU,1570731311,51,55.79,84.89,33.01,3.0
204,hambantota,87,LK,1570731311,80,6.12,81.12,81.64,13.9
205,bowen,90,AU,1570731312,88,-20.01,148.25,71.01,1.12
206,tiksi,96,RU,1570731312,92,71.64,128.87,15.4,3.91
207,nishihara,90,JP,1570731312,93,35.74,139.53,64.99,8.05
208,ingham,88,AU,1570731313,85,-18.65,146.16,69.04,1.34
209,cidreira,1,BR,1570731313,80,-30.17,-50.22,69.22,11.17
210,pitea,90,SE,1570731314,99,65.32,21.48,37.0,3.36
211,ust-shonosha,90,RU,1570731314,96,61.15,41.34,34.84,5.68
212,kurchum,0,KZ,1570731315,50,48.57,83.65,53.56,2.74
213,luderitz,63,NA,1570731315,48,-26.65,15.16,66.2,18.34
214,karratha,0,AU,1570731316,66,-20.74,116.85,77.68,10.16
215,lidkoping,55,SE,1570731316,100,58.51,13.16,46.4,6.93
216,filadelfia,0,PY,1570731317,17,-22.35,-60.04,102.16,14.52
217,salzhemmendorf,75,DE,1570731317,87,52.07,9.59,54.0,5.82
218,moose factory,1,CA,1570731320,48,51.26,-80.61,66.2,9.17
219,poya,18,NC,1570731320,71,-21.35,165.16,71.38,7.55
220,washington,20,US,1570731321,43,38.9,-77.04,75.2,6.93
221,bakersfield,1,US,1570731321,22,35.37,-119.02,69.01,3.36
222,moussoro,57,TD,1570731322,40,13.64,16.49,92.98,1.06
223,vestmannaeyjar,20,IS,1570731322,70,63.44,-20.27,44.6,23.04
224,aksu,27,KZ,1570731323,47,52.04,76.93,53.2,10.6
225,brigantine,40,US,1570731323,40,39.41,-74.36,75.0,16.11
226,makubetsu,83,JP,1570731323,83,42.84,143.34,45.64,1.97
227,kirakira,61,SB,1570731324,86,-10.46,161.92,75.16,5.35
228,tura,0,RU,1570731324,80,64.27,100.22,13.24,2.12
229,kloulklubed,75,PW,1570731324,83,7.04,134.26,80.6,9.17
230,sungaipenuh,51,ID,1570731325,91,-2.08,101.38,62.02,1.07
231,khatanga,56,RU,1570731325,88,71.98,102.47,13.78,9.84
232,lavrentiya,0,RU,1570731326,71,65.58,-170.99,30.88,8.91
233,maragogi,63,BR,1570731326,76,-9.01,-35.22,78.4,18.34
234,lukovetskiy,100,RU,1570731326,98,64.29,41.92,33.22,7.8
235,henties bay,0,NA,1570731327,87,-22.12,14.28,63.0,5.99
236,hay river,75,CA,1570731327,86,60.82,-115.79,33.8,8.05
237,deputatskiy,100,RU,1570731327,95,69.3,139.9,9.46,0.54
238,san isidro,75,CR,1570731328,69,10.02,-84.06,77.0,10.29
239,leh,0,IN,1570731328,31,34.16,77.58,34.12,3.48
240,carnarvon,99,ZA,1570731328,14,-30.97,22.13,59.32,10.46
241,lebu,20,ET,1570731329,72,8.96,38.73,60.8,11.41
242,biak,86,ID,1570731329,81,-0.91,122.88,79.84,7.65
243,clyde river,75,CA,1570731330,100,70.47,-68.59,33.8,9.17
244,kimbe,97,PG,1570731330,92,-5.56,150.15,72.82,2.97
245,harper,40,US,1570731331,55,30.3,-99.24,89.01,16.11
246,banfora,97,BF,1570731331,78,10.64,-4.75,80.74,4.74
247,la asuncion,0,AR,1570731331,22,-26.05,-65.39,88.66,9.4
248,samarai,92,PG,1570731332,94,-10.62,150.67,72.82,5.09
249,barra do garcas,75,BR,1570731332,41,-15.89,-52.26,95.0,2.24
250,redlands,5,US,1570731333,23,34.06,-117.19,78.8,4.63
251,aska,91,IN,1570731334,92,19.61,84.67,74.26,2.7
252,lagoa,0,PT,1570731335,64,37.14,-8.45,75.2,4.7
253,makakilo city,40,US,1570731335,94,21.35,-158.09,84.2,5.05
254,coquimbo,40,CL,1570731335,67,-29.95,-71.34,60.8,13.87
255,sal rei,40,CV,1570731336,66,16.18,-22.92,84.2,17.22
256,gravdal,75,NO,1570731336,76,59.79,5.78,52.0,18.34
257,constitucion,20,MX,1570731337,33,23.99,-104.67,75.2,1.03
258,andrews,1,US,1570731337,23,32.32,-102.55,87.8,16.11
259,limoux,4,FR,1570731337,59,43.05,2.22,68.0,3.36
260,angoche,97,MZ,1570731338,76,-16.23,39.91,78.22,8.36
261,ilulissat,20,GL,1570731338,46,69.22,-51.1,30.2,17.22
262,alice springs,0,AU,1570731338,23,-23.7,133.88,53.6,9.01
263,nabire,100,ID,1570731339,97,-3.36,135.5,71.38,2.05
264,esso,99,RU,1570731339,98,55.93,158.7,32.14,3.8
265,mecca,0,SA,1570731339,48,21.43,39.83,86.14,5.98
266,souillac,12,FR,1570731340,68,45.6,-0.6,64.4,6.93
267,mukhen,100,RU,1570731340,80,48.19,136.14,46.54,5.49
268,huancabamba,94,PE,1570731340,62,-5.24,-79.45,64.0,6.11
269,darhan,0,MN,1570731342,57,49.49,105.92,23.14,2.6
270,milkovo,75,BG,1570731342,82,41.53,24.68,68.0,3.36
271,hamilton,40,CA,1570731342,67,43.26,-79.87,64.99,12.75
272,maiduguri,71,NG,1570731343,42,11.84,13.15,88.12,8.98
273,hithadhoo,100,MV,1570731343,79,-0.6,73.08,82.18,14.88
274,comodoro rivadavia,75,AR,1570731344,21,-45.87,-67.48,69.8,17.22
275,callaway,90,US,1570731344,93,46.98,-95.91,48.99,10.29
276,margate,90,AU,1570731344,70,-43.03,147.26,48.2,9.88
277,bilibino,30,RU,1570731345,80,68.06,166.44,4.42,2.42
278,deniliquin,30,AU,1570731345,86,-35.53,144.96,43.0,3.0
279,klyuchi,0,RU,1570731345,51,52.25,79.17,48.7,7.17
280,broken hill,0,AU,1570731346,40,-31.97,141.45,53.6,4.7
281,sargatskoye,100,RU,1570731346,54,55.6,73.49,51.94,13.09
282,pimentel,56,BR,1570731346,27,-3.7,-45.5,98.02,4.47
283,lata,13,IN,1570731347,71,30.78,78.62,28.72,1.12
284,gornyy,82,RU,1570731347,62,51.76,48.54,51.4,12.56
285,buraydah,40,SA,1570731347,38,26.33,43.97,87.8,6.93
286,ayan,0,IR,1570731348,55,38.23,44.7,51.58,1.42
287,coos bay,1,US,1570731349,47,43.37,-124.22,55.4,10.29
288,mapiripan,89,CO,1570731350,71,2.89,-72.13,81.82,4.39
289,kununurra,68,AU,1570731350,56,-15.77,128.74,68.0,3.36
290,taoudenni,0,ML,1570731351,16,22.68,-3.98,90.1,10.89
291,lodi,68,IT,1570731351,82,45.31,9.5,64.0,2.24
292,vanavara,0,RU,1570731351,75,60.35,102.28,19.54,3.64
293,severo-kurilsk,74,RU,1570731352,94,50.68,156.12,39.7,9.64
294,forbes,45,AU,1570731352,64,-33.38,148.01,55.0,6.92
295,berlevag,75,NO,1570731353,86,70.86,29.09,39.2,10.29
296,nizhniy kuranakh,98,RU,1570731353,93,58.84,125.49,14.86,7.58
297,paratebueno,40,CO,1570731354,66,4.38,-73.21,84.2,3.36
298,hit,0,IQ,1570731354,23,33.64,42.83,83.08,3.4
299,leningradskiy,0,RU,1570731354,69,69.38,178.42,21.34,7.84
300,lira,100,UG,1570731355,94,2.25,32.9,66.88,4.36
301,galesong,20,ID,1570731355,83,-5.32,119.37,75.2,3.36
302,port blair,11,IN,1570731356,67,11.67,92.75,83.62,4.14
303,nyurba,100,RU,1570731356,90,63.29,118.35,19.54,9.9
304,pangnirtung,90,CA,1570731356,93,66.15,-65.72,35.6,2.24
305,hami,0,CN,1570731357,23,42.84,93.51,58.78,9.87
306,hofn,75,IS,1570731357,65,64.25,-15.21,46.4,6.93
307,iwanai,100,JP,1570731357,89,42.97,140.51,51.04,5.26
308,adrar,0,DZ,1570731358,17,27.87,-0.29,91.4,12.75
309,algeciras,54,ES,1570731358,53,36.13,-5.45,77.0,23.04
310,miri,16,NG,1570731359,69,10.31,9.75,77.86,3.59
311,banepa,20,NP,1570731359,93,27.63,85.52,62.6,2.24
312,kollam,40,IN,1570731360,83,8.88,76.6,80.6,4.7
313,valentin gomez farias,20,MX,1570731360,33,24.05,-104.7,75.2,1.03
314,dongsheng,100,CN,1570731362,69,29.72,112.52,65.8,8.01
315,kalmunai,100,LK,1570731364,80,7.42,81.82,81.82,20.79
316,matamoros,75,US,1570731365,52,25.87,-97.51,93.2,14.99
317,iqaluit,90,CA,1570731365,100,63.75,-68.52,35.6,3.36
318,ambulu,25,ID,1570731366,86,-8.35,113.61,76.42,7.03
319,belomorsk,100,RU,1570731366,94,64.52,34.76,36.1,10.85
320,polis,20,CY,1570731367,83,35.04,32.42,73.4,5.82
321,olinda,75,AU,1570731368,93,-37.84,145.39,51.01,6.93
322,villa del rosario,25,AR,1570731368,20,-31.55,-63.53,97.0,20.8
323,sulphur,20,US,1570731369,58,30.24,-93.38,89.6,10.29
324,boda,36,CF,1570731369,93,4.32,17.47,70.48,2.52
325,daru,93,PG,1570731370,96,-9.07,143.21,72.64,3.29
326,cockburn town,40,TC,1570731370,70,21.46,-71.14,86.0,10.29
327,doha,0,QA,1570731370,66,25.29,51.53,89.6,4.7
328,cururupu,95,BR,1570731371,48,-1.82,-44.87,88.84,7.06
329,campeche,40,MX,1570731371,70,19.84,-90.54,87.8,5.82
330,beira,0,ES,1570731371,82,43.2,-8.36,68.0,6.93
331,kaitangata,100,NZ,1570731372,80,-46.28,169.85,45.0,27.0
332,yiyang,96,CN,1570731372,75,28.59,112.35,65.44,10.34
333,gat,40,SN,1570731373,74,14.69,-16.54,95.0,10.29
334,bubaque,73,GW,1570731373,73,11.28,-15.83,82.9,9.23
335,silver city,1,US,1570731375,24,32.77,-108.28,73.99,11.41
336,maracaju,10,BR,1570731376,25,-21.61,-55.17,97.3,8.55
337,taicheng,0,CN,1570731376,85,22.25,112.8,78.01,1.01
338,piacenza,92,IT,1570731376,100,45.05,9.69,64.0,2.24
339,kochubey,1,RU,1570731377,85,44.39,46.54,58.24,14.57
340,stokmarknes,20,NO,1570731377,86,68.56,14.91,39.0,5.82
341,hervey bay,40,AU,1570731378,82,-25.3,152.85,61.0,5.82
342,dunedin,100,NZ,1570731378,97,-45.87,170.5,46.0,29.41
343,hauterive,1,CA,1570731379,66,49.18,-68.27,55.99,6.93
344,huilong,98,CN,1570731379,92,31.15,106.5,59.86,6.55
345,the valley,20,AI,1570731380,69,18.22,-63.06,87.8,4.7
346,nouakchott,31,MR,1570731380,11,18.08,-15.98,102.2,14.99
347,pangai,20,TO,1570731380,94,-19.8,-174.35,75.2,8.05
348,codrington,40,AU,1570731381,93,-28.95,153.24,55.4,3.27
349,oksfjord,75,NO,1570731381,74,70.24,22.35,37.4,4.7
350,gebre guracha,59,ET,1570731381,76,9.8,38.4,62.38,3.17
351,cavalcante,78,BR,1570731382,30,-13.79,-47.46,83.44,7.42
352,nurota,19,UZ,1570731382,37,40.56,65.69,66.2,4.7
353,mackay,20,CA,1570731383,68,53.65,-115.58,28.4,4.7
354,korcula,75,HR,1570731383,73,42.96,17.14,69.8,1.12
355,dharchula,17,IN,1570731384,81,29.85,80.53,41.5,1.83
356,port hardy,75,CA,1570731384,86,50.7,-127.42,39.2,2.24
357,soubre,57,CI,1570731385,95,5.79,-6.61,75.34,4.4
358,te anau,100,NZ,1570731385,93,-45.41,167.72,41.86,11.14
359,kuusamo,90,FI,1570731386,98,65.96,29.19,32.0,5.82
360,impfondo,67,CD,1570731387,91,1.62,18.06,73.72,1.42
361,nuevo progreso,20,US,1570731387,46,26.05,-97.95,93.2,17.22
362,puerto escondido,75,MX,1570731388,70,15.86,-97.07,86.0,5.24
363,strezhevoy,100,RU,1570731388,65,60.73,77.6,39.52,11.3
364,minas,73,UY,1570731389,42,-34.38,-55.24,84.2,11.41
365,dalvik,20,SE,1570731389,93,57.79,14.13,48.0,8.05
366,bourail,6,NC,1570731389,85,-21.57,165.5,64.0,2.83
367,mankapur,0,IN,1570731390,68,28.32,79.86,71.38,2.18
368,cap malheureux,75,MU,1570731391,57,-19.98,57.61,75.2,14.99
369,terrace,90,CA,1570731391,55,54.52,-128.61,36.0,2.24
370,pinawa,100,CA,1570731391,100,50.15,-95.88,32.0,11.39
371,mazeikiai,96,LT,1570731392,92,56.32,22.33,46.36,4.59
372,geraldton,40,CA,1570731392,67,49.72,-86.95,59.0,13.87
373,amapa,40,HN,1570731393,59,15.09,-87.97,89.6,3.36
374,northam,4,AU,1570731393,93,-31.65,116.67,53.6,3.21
375,mersing,5,MY,1570731394,72,2.43,103.84,83.44,7.67
376,shyryayeve,98,UA,1570731395,59,47.38,30.2,60.04,7.29
377,nayoro,100,JP,1570731395,92,44.36,142.46,46.36,3.65
378,barabai,34,ID,1570731395,84,-2.59,115.38,75.16,1.87
379,puerto leguizamo,99,CO,1570731396,99,-0.19,-74.78,71.2,3.79
380,atherton,40,AU,1570731396,88,-17.27,145.48,69.8,4.0
381,palauig,35,PH,1570731396,81,15.44,119.9,73.9,4.11
382,menongue,95,AO,1570731397,45,-14.66,17.68,72.82,4.76
383,bandarbeyla,0,SO,1570731397,89,9.49,50.81,80.02,9.72
384,bonavista,0,CA,1570731398,65,48.65,-53.11,54.0,3.0
385,arman,100,RU,1570731398,78,59.7,150.17,38.62,20.9
386,ponta do sol,92,BR,1570731398,69,-20.63,-46.0,74.62,7.62
